CPU_Utilization,Frequency,IPC,Misses,LLC,MBL,Memory_Footprint,Virt_Memory,Res_Memory,Allocated_Cache,sensitive
100.0,2199.865,1.76,8599.0,1160.0,1165.1,0.1,204200.0,187188.0,1.25,1
100.0,2200.0,2.52,139.0,7760.0,16.1,0.1,209312.0,196972.0,25.0,1
100.0,2199.865,2.66,194.0,8440.0,22.9,0.2,210120.0,198292.0,25.0,1
100.0,2200.0,2.25,34.0,4160.0,9.7,0.1,107224.0,99428.0,25.0,1
100.0,2200.0,2.26,9.0,1280.0,0.8,0.0,16348.0,4712.0,25.0,0
100.0,2200.0,2.26,3.0,1320.0,0.3,0.0,16348.0,4712.0,25.0,0
100.0,2199.865,2.2,3.0,1320.0,0.2,0.0,16348.0,4712.0,25.0,0
100.0,2199.865,2.19,4.0,1280.0,0.1,0.0,16348.0,4712.0,25.0,0
100.0,2199.865,2.18,3.0,1120.0,0.2,0.0,16348.0,4712.0,25.0,0
100.0,2200.0,0.67,49917.0,1160.0,2160.2,0.1,201328.0,185656.0,1.25,0
100.0,2200.0,1.99,49.0,9920.0,74.8,0.3,397600.0,382660.0,25.0,0
100.0,2200.0,1.1,50.0,7080.0,17.4,0.4,503496.0,488192.0,25.0,0
100.0,2199.865,1.25,160.0,8400.0,130.4,0.4,503496.0,488192.0,25.0,0
100.0,2200.0,1.09,87.0,7000.0,23.0,0.4,503496.0,488192.0,25.0,0
100.0,2199.865,1.13,98.0,9280.0,26.3,0.4,503496.0,488192.0,25.0,0
100.0,2200.0,1.63,106.0,7280.0,24.9,0.6,833088.0,768112.0,25.0,0
100.0,2200.0,1.78,4080.0,14240.0,773.3,0.7,942436.0,866420.0,25.0,0
100.0,2200.0,1.6,797.0,8520.0,189.8,0.6,835464.0,786272.0,25.0,0
100.0,2199.865,1.6,806.0,9360.0,195.1,0.6,830280.0,781060.0,25.0,0
100.0,2200.0,1.6,4235.0,600.0,896.8,0.0,159356.0,47180.0,1.25,0
100.0,2200.0,1.64,7.0,2040.0,0.7,0.0,159356.0,47112.0,25.0,0
100.0,2199.865,1.64,8.0,2000.0,1.2,0.0,159356.0,47112.0,25.0,0
100.0,2199.865,1.64,8.0,1840.0,0.9,0.0,159356.0,47112.0,25.0,0
100.0,2199.865,1.62,15.0,2680.0,1.4,0.2,397356.0,285152.0,25.0,0
100.0,2200.0,1.61,22.0,3640.0,1.4,0.2,397356.0,285152.0,25.0,0
100.0,2199.865,1.62,21.0,3360.0,1.1,0.2,397356.0,285152.0,25.0,0
100.0,2200.0,1.61,35.0,3000.0,3.2,0.2,397356.0,285152.0,25.0,0
100.0,2199.865,1.61,47.0,3000.0,2.8,0.2,397356.0,285152.0,25.0,0
100.0,2199.865,1.62,22.0,3400.0,1.5,0.2,397356.0,285152.0,25.0,0
100.0,2199.865,1.28,21.0,3160.0,7.5,0.0,23676.0,11700.0,25.0,0
100.0,2199.865,1.27,7.0,3240.0,4.2,0.0,23676.0,11700.0,25.0,0
100.0,2199.865,1.27,26.0,3120.0,10.4,0.0,24880.0,12404.0,25.0,0
100.0,2199.865,2.24,0.0,320.0,0.2,0.0,15204.0,996.0,25.0,0
100.0,2200.0,1.48,1342.0,920.0,163.5,0.4,593412.0,586704.0,1.25,1
100.0,2200.0,0.96,15360.0,1280.0,1547.6,0.4,623116.0,574496.0,1.25,1
100.0,2199.865,2.29,1383.0,12480.0,172.0,0.5,623180.0,616536.0,25.0,1
100.0,2199.865,2.38,1248.0,11640.0,151.2,0.5,623180.0,616536.0,25.0,1
100.0,2199.865,2.56,1036.0,10240.0,140.4,0.5,623180.0,616536.0,25.0,1
100.0,2200.0,2.9,86050.0,23240.0,7414.6,0.1,68112.0,66204.0,25.0,1
100.0,2199.865,2.75,76283.0,24000.0,7424.6,0.1,68112.0,66204.0,25.0,1
100.0,2200.0,2.9,80384.0,23760.0,6921.1,0.1,68112.0,66204.0,25.0,1
100.0,2199.865,3.0,81205.0,24120.0,7990.3,0.1,68112.0,66204.0,25.0,1
100.0,2200.0,1.14,63.0,16240.0,46.8,0.7,868908.0,864112.0,25.0,0
100.0,2200.0,1.18,536.0,15840.0,182.7,0.1,112164.0,88276.0,25.0,1
100.0,2199.865,1.21,999.0,18240.0,228.2,0.1,112228.0,88288.0,25.0,1
100.0,2200.0,1.32,4747.0,18640.0,589.0,0.1,114652.0,89012.0,25.0,1
100.0,2200.0,1.8,731.0,13240.0,42.9,0.1,118248.0,113284.0,25.0,1
100.0,2199.865,2.0,431.0,11440.0,193.8,0.2,322048.0,317436.0,25.0,1
100.0,2200.0,2.09,480.0,16120.0,248.6,0.2,322048.0,317436.0,25.0,1
100.0,2200.0,2.0,418.0,9720.0,141.6,0.2,322048.0,317436.0,25.0,1
93.8,2200.0,2.07,524.0,13720.0,275.9,0.2,322048.0,317436.0,25.0,1
100.0,2200.0,0.63,1061.0,9960.0,80.3,0.2,290704.0,286536.0,25.0,1
100.0,2200.0,1.36,1706.0,12640.0,185.7,0.0,58136.0,51968.0,25.0,1
100.0,2200.0,0.69,58.0,10360.0,5.0,0.1,197316.0,194436.0,25.0,1
100.0,2200.0,1.42,2.0,920.0,0.8,0.0,5332.0,3012.0,25.0,0
100.0,2200.0,1.42,2.0,1440.0,1.0,0.0,5752.0,3592.0,25.0,0
100.0,2199.865,1.41,2.0,1560.0,0.4,0.0,5752.0,3592.0,25.0,0
100.0,2200.0,1.41,3.0,1560.0,0.5,0.0,5752.0,3592.0,25.0,0
93.8,2200.0,1.42,1.0,1600.0,0.6,0.0,5752.0,3592.0,25.0,0
100.0,2200.0,1.42,1.0,1560.0,0.4,0.0,5752.0,3592.0,25.0,0
100.0,2200.0,1.42,92.0,4680.0,28.8,0.0,23828.0,20360.0,25.0,0
100.0,2199.865,1.42,157.0,4600.0,16.1,0.0,23828.0,20360.0,25.0,0
100.0,2199.865,1.29,228.0,6080.0,29.1,0.0,23828.0,20360.0,25.0,0
100.0,2200.0,1.29,143.0,5600.0,12.1,0.0,23828.0,20360.0,25.0,0
100.0,2200.0,1.38,129.0,5120.0,11.0,0.0,23828.0,20360.0,25.0,0
100.0,2199.865,1.32,141.0,5400.0,30.3,0.0,23836.0,20360.0,25.0,0
100.0,2200.0,2.11,91.0,5000.0,8.9,0.0,49452.0,46728.0,25.0,0
100.0,2200.0,2.04,126.0,4680.0,13.6,0.0,49452.0,46728.0,25.0,0
93.8,2200.0,2.16,90.0,3360.0,10.5,0.0,49452.0,46728.0,25.0,0
100.0,2199.865,2.34,54.0,6120.0,3.1,0.1,124484.0,122292.0,25.0,1
100.0,2200.0,2.32,82.0,6000.0,4.8,0.1,155860.0,153624.0,25.0,1
93.8,2200.0,2.42,61.0,5080.0,3.8,0.1,158076.0,155736.0,25.0,1
100.0,2200.0,2.35,81.0,6120.0,5.2,0.1,169524.0,167088.0,25.0,1
100.0,2200.0,2.33,135.0,5360.0,8.7,0.1,174904.0,172632.0,25.0,1
100.0,2199.865,2.06,2.0,560.0,0.2,0.0,6576.0,3760.0,25.0,0
100.0,2200.0,2.08,4.0,680.0,0.3,0.0,6576.0,3760.0,25.0,0
100.0,2200.0,2.09,4.0,760.0,0.4,0.0,6576.0,3760.0,25.0,0
100.0,2200.0,2.09,4.0,640.0,0.2,0.0,6576.0,3760.0,25.0,0
100.0,2199.865,1.69,45.0,4360.0,9.0,0.0,18508.0,13180.0,25.0,0
100.0,2200.0,1.69,70.0,4400.0,9.6,0.0,18508.0,13180.0,25.0,0
100.0,2200.0,1.7,116.0,6520.0,13.0,0.0,18508.0,13180.0,25.0,0
100.0,2200.0,1.69,84.0,5200.0,9.8,0.0,18508.0,13180.0,25.0,0
100.0,2199.865,2.53,30.0,2360.0,5.5,0.0,33492.0,27388.0,25.0,0
100.0,2200.0,2.53,30.0,2360.0,2.4,0.0,33492.0,27388.0,25.0,0
100.0,2199.865,2.53,40.0,2240.0,3.3,0.0,33492.0,27392.0,25.0,0
100.0,2199.865,1.5,19.0,6440.0,11.2,0.0,10984.0,6652.0,25.0,0
100.0,2200.0,1.46,22.0,5440.0,14.2,0.0,10912.0,6580.0,25.0,0
100.0,2200.0,2.05,5.0,1640.0,0.7,0.0,14684.0,6748.0,25.0,0
100.0,2199.865,0.93,42361.0,1320.0,5234.4,0.1,111408.0,89936.0,2.5,1
100.0,2199.865,2.85,8447.0,1960.0,471.2,0.1,119852.0,113524.0,2.5,0
100.0,2199.865,2.06,5982.0,1680.0,504.1,0.1,92016.0,85808.0,2.5,0
100.0,2199.865,0.89,20835.0,2040.0,2660.7,0.1,112020.0,88280.0,5.0,1
100.0,2199.865,0.99,38147.0,2320.0,3157.4,0.1,112380.0,88332.0,5.0,1
100.0,2200.0,1.22,988.0,240.0,156.1,0.0,32608.0,28200.0,2.5,0
93.3,2200.0,1.44,4309.0,200.0,455.8,0.0,26172.0,17756.0,2.5,0
100.0,2200.0,1.66,2008.0,1040.0,164.1,0.0,18508.0,13176.0,2.5,0
100.0,2199.865,0.74,22766.0,2560.0,1922.5,0.1,104088.0,101656.0,6.25,1
93.8,2199.865,0.73,22355.0,1320.0,1772.4,0.1,104568.0,102172.0,6.25,1
100.0,2199.865,1.01,34730.0,3280.0,2759.0,0.1,111444.0,88204.0,6.25,1
100.0,2199.865,2.29,7959.0,40.0,683.9,0.0,32968.0,28884.0,2.5,0
100.0,2200.0,0.75,21569.0,1920.0,1661.5,0.1,104500.0,102192.0,7.5,1
100.0,2199.865,1.02,34352.0,3280.0,3492.8,0.1,112492.0,88352.0,7.5,1
100.0,2200.0,2.39,8466.0,80.0,843.3,0.0,32968.0,26760.0,2.5,0
100.0,2200.0,1.6,3681.0,680.0,389.2,0.0,18508.0,13180.0,2.5,0
100.0,2199.865,1.63,2879.0,1720.0,341.3,0.0,18508.0,13180.0,2.5,0
100.0,2199.865,2.88,8595.0,1880.0,399.5,0.1,120984.0,116948.0,2.5,0
100.0,2200.0,2.52,203.0,160.0,5.6,0.0,32968.0,28948.0,2.5,0
100.0,2199.865,2.52,222.0,80.0,5.1,0.0,32968.0,28948.0,2.5,0
100.0,2200.0,1.65,1952.0,1720.0,130.9,0.0,18508.0,13176.0,2.5,0
100.0,2200.0,1.03,12455.0,4400.0,1483.1,0.1,112140.0,88280.0,11.25,1
100.0,2199.865,1.12,25134.0,6600.0,2114.8,0.1,112276.0,89940.0,13.75,1
100.0,2200.0,2.52,199.0,280.0,8.0,0.0,32968.0,26944.0,2.5,0
100.0,2199.865,1.59,3936.0,1120.0,291.1,0.0,18508.0,13176.0,2.5,0
100.0,2200.0,1.67,1855.0,2040.0,132.5,0.0,18508.0,13176.0,2.5,0
100.0,2199.865,0.84,18894.0,4160.0,1506.9,0.1,104568.0,102172.0,16.25,1
87.5,2200.0,1.11,23153.0,8840.0,2258.8,0.1,112660.0,89892.0,16.25,1
100.0,2200.0,1.59,3227.0,360.0,390.4,0.0,18508.0,13180.0,2.5,0
100.0,2199.865,1.67,1744.0,2120.0,210.5,0.0,18508.0,13180.0,2.5,0
