CPU_Utilization,Frequency,IPC,Misses,LLC,MBL,Memory_Footprint,Virt_Memory,Res_Memory,Allocated_Cache,stream
100.0,3556.805,1.71,9287.0,2160.0,410.7,0.1,203556.0,187848.0,2.25,0
100.0,3558.045,1.77,8426.0,2160.0,356.1,0.1,203688.0,188112.0,2.25,0
100.0,3554.2259999999997,1.83,8017.0,2232.0,348.8,0.1,204092.0,188640.0,2.25,0
100.0,3536.06,1.9,7941.0,2160.0,355.7,0.1,204380.0,189960.0,2.25,0
100.0,3342.1820000000002,2.12,4278.0,4536.0,316.8,0.1,203672.0,187912.0,4.5,0
100.0,3396.7540000000004,2.01,4934.0,4392.0,388.6,0.1,203956.0,188440.0,4.5,0
100.0,3557.0959999999995,2.05,5133.0,4536.0,434.6,0.1,204528.0,189760.0,4.5,0
100.0,3321.635,2.13,3333.0,5616.0,276.3,0.1,202808.0,186540.0,6.75,0
100.0,3552.6059999999998,2.18,2913.0,6336.0,221.8,0.1,204112.0,188916.0,6.75,0
100.0,3557.3259999999996,2.3,1049.0,9072.0,72.9,0.1,203956.0,188664.0,11.25,0
100.0,3555.672,2.31,1016.0,9432.0,74.8,0.1,204528.0,190248.0,11.25,0
100.0,3316.3909999999996,2.25,576.0,9720.0,65.3,0.1,203556.0,187940.0,13.5,0
100.0,3318.013,2.33,524.0,10152.0,49.3,0.1,204512.0,190316.0,13.5,0
100.0,3554.397,2.4,220.0,9864.0,7.9,0.1,204380.0,189980.0,15.75,0
100.0,3554.868,2.25,261.0,10080.0,11.7,0.1,204380.0,189980.0,15.75,0
100.0,3319.1020000000003,2.33,78.0,10296.0,5.1,0.1,202944.0,186864.0,22.5,0
100.0,3339.842,2.31,63.0,14544.0,5.8,0.1,205240.0,191616.0,22.5,0
100.0,3558.758,2.36,46.0,13536.0,5.6,0.1,203672.0,187608.0,24.75,0
93.8,3554.809,2.25,46.0,15120.0,6.8,0.1,205240.0,191404.0,27.0,0
100.0,3373.679,2.35,41.0,16560.0,5.1,0.1,204092.0,189208.0,29.25,0
100.0,3556.028,2.42,30.0,13176.0,2.4,0.1,204380.0,189972.0,31.5,0
100.0,3555.1859999999997,2.36,39.0,14040.0,4.5,0.1,204664.0,190764.0,31.5,0
100.0,3557.5609999999997,2.26,40.0,15048.0,5.8,0.1,208920.0,195516.0,31.5,0
100.0,3357.157,2.37,35.0,15192.0,4.1,0.1,203956.0,188108.0,36.0,0
100.0,3559.454,2.23,37.0,17352.0,9.1,0.1,202820.0,186780.0,38.25,0
93.8,3338.926,2.26,34.0,17496.0,3.3,0.1,204512.0,190476.0,38.25,0
100.0,3315.042,2.25,33.0,16632.0,3.6,0.1,205172.0,191532.0,38.25,0
100.0,3557.663,2.27,34.0,14544.0,4.0,0.1,203956.0,188652.0,40.5,0
100.0,3552.368,2.38,36.0,15984.0,3.9,0.1,204528.0,189972.0,40.5,0
100.0,3556.405,2.36,30.0,15696.0,3.0,0.1,204528.0,190236.0,40.5,0
100.0,3307.745,2.29,35.0,14544.0,3.0,0.1,204092.0,189164.0,45.0,0
100.0,3335.153,2.41,27.0,16488.0,2.4,0.1,204512.0,190484.0,45.0,0
100.0,3554.75,2.41,31.0,16128.0,5.5,0.1,204664.0,190748.0,45.0,0
100.0,3342.532,2.38,29.0,17784.0,4.1,0.2,210084.0,200464.0,45.0,0
100.0,3554.25,2.34,33.0,16560.0,7.1,0.2,210228.0,200992.0,45.0,0
100.0,3329.3059999999996,2.22,121.0,15912.0,16.6,0.1,164564.0,158704.0,45.0,0
100.0,3553.0409999999997,2.18,52.0,13896.0,4.4,0.1,161068.0,154572.0,45.0,0
