CPU_Utilization,Frequency,IPC,Misses,LLC,MBL,Memory_Footprint,Virt_Memory,Res_Memory,Allocated_Cache,stream
100.0,2200.0,2.56,165.0,7600.0,17.4,0.1,203052.0,185076.0,25.0,0
100.0,2200.0,2.46,131.0,8680.0,12.5,0.1,204340.0,188244.0,25.0,0
100.0,2200.0,2.47,140.0,8120.0,15.4,0.1,209116.0,196164.0,25.0,0
100.0,2200.0,2.47,152.0,8880.0,14.1,0.1,209312.0,196712.0,25.0,0
100.0,2200.0,2.32,34.0,2200.0,2.4,0.1,152864.0,141712.0,25.0,0
100.0,2199.865,0.74,29947.0,1120.0,2190.9,0.6,833020.0,815832.0,1.25,1
93.8,2199.865,1.68,2084.0,17840.0,396.3,0.6,757936.0,740296.0,25.0,1
100.0,2200.0,1.4,322.0,9840.0,63.3,0.9,1188332.0,1153433.6,25.0,1
100.0,2200.0,1.62,731.0,12960.0,157.2,0.8,1025016.0,1011200.0,25.0,1
100.0,2200.0,1.24,29723.0,21040.0,2267.1,0.5,699352.0,681256.0,25.0,1
100.0,2200.0,1.25,29580.0,23360.0,2178.0,0.5,727920.0,711352.0,25.0,1
100.0,2200.0,1.14,23322.0,10680.0,1781.3,0.8,1114232.0,1048576.0,25.0,1
100.0,2199.865,3.43,69.0,5160.0,87.7,0.6,814016.0,800040.0,25.0,1
100.0,2200.0,1.41,45971.0,24680.0,4524.5,0.6,814016.0,800048.0,25.0,1
100.0,2199.865,0.76,20523.0,1000.0,988.4,0.0,35572.0,17148.0,1.25,1
93.8,2200.0,0.96,248.0,9120.0,11.2,0.0,35572.0,17212.0,25.0,1
100.0,2199.865,0.86,15711.0,21440.0,1859.4,0.2,332312.0,257660.0,25.0,1
100.0,2200.0,0.83,18691.0,15800.0,1169.7,0.5,629512.0,622676.0,25.0,1
100.0,2199.865,1.08,41420.0,18800.0,4490.2,0.5,629512.0,622676.0,25.0,1
93.8,2200.0,0.85,16393.0,15120.0,1022.3,0.5,629512.0,622676.0,25.0,1
93.8,2199.865,1.39,6220.0,14480.0,1694.2,0.5,820404.0,596936.0,25.0,1
100.0,2199.865,1.25,11108.0,16720.0,1345.6,0.6,820404.0,805444.0,25.0,1
100.0,2200.0,1.25,6674.0,24120.0,760.7,0.6,820404.0,805448.0,25.0,1
100.0,2200.0,2.15,10273.0,1160.0,1015.4,0.1,190180.0,160756.0,1.25,1
