CPU_Utilization_1_sen,Frequency_1_sen,IPC_1_sen,Misses_1_sen,LLC_1_sen,MBL_1_sen,Memory_Footprint_1_sen,Virt_Memory_1_sen,Res_Memory_1_sen,Weighted_Speedup_1_sen,CPU_Utilization_1_stream,Frequency_1_stream,IPC_1_stream,Misses_1_stream,LLC_1_stream,MBL_1_stream,Memory_Footprint_1_stream,Virt_Memory_1_stream,Res_Memory_1_stream,Weighted_Speedup_1_stream,CPU_Utilization_1_insen,Frequency_1_insen,IPC_1_insen,Misses_1_insen,LLC_1_insen,MBL_1_insen,Memory_Footprint_1_insen,Virt_Memory_1_insen,Res_Memory_1_insen,Weighted_Speedup_1_insen,CPU_Utilization_2_sen,Frequency_2_sen,IPC_2_sen,Misses_2_sen,LLC_2_sen,MBL_2_sen,Memory_Footprint_2_sen,Virt_Memory_2_sen,Res_Memory_2_sen,Weighted_Speedup_2_sen,CPU_Utilization_2_stream,Frequency_2_stream,IPC_2_stream,Misses_2_stream,LLC_2_stream,MBL_2_stream,Memory_Footprint_2_stream,Virt_Memory_2_stream,Res_Memory_2_stream,Weighted_Speedup_2_stream,CPU_Utilization_2_insen,Frequency_2_insen,IPC_2_insen,Misses_2_insen,LLC_2_insen,MBL_2_insen,Memory_Footprint_2_insen,Virt_Memory_2_insen,Res_Memory_2_insen,Weighted_Speedup_2_insen,CPU_Utilization_3_sen,Frequency_3_sen,IPC_3_sen,Misses_3_sen,LLC_3_sen,MBL_3_sen,Memory_Footprint_3_sen,Virt_Memory_3_sen,Res_Memory_3_sen,Weighted_Speedup_3_sen,CPU_Utilization_3_stream,Frequency_3_stream,IPC_3_stream,Misses_3_stream,LLC_3_stream,MBL_3_stream,Memory_Footprint_3_stream,Virt_Memory_3_stream,Res_Memory_3_stream,Weighted_Speedup_3_stream,CPU_Utilization_3_insen,Frequency_3_insen,IPC_3_insen,Misses_3_insen,LLC_3_insen,MBL_3_insen,Memory_Footprint_3_insen,Virt_Memory_3_insen,Res_Memory_3_insen,Weighted_Speedup_3_insen,CPU_Utilization_4_sen,Frequency_4_sen,IPC_4_sen,Misses_4_sen,LLC_4_sen,MBL_4_sen,Memory_Footprint_4_sen,Virt_Memory_4_sen,Res_Memory_4_sen,Weighted_Speedup_4_sen,CPU_Utilization_4_stream,Frequency_4_stream,IPC_4_stream,Misses_4_stream,LLC_4_stream,MBL_4_stream,Memory_Footprint_4_stream,Virt_Memory_4_stream,Res_Memory_4_stream,Weighted_Speedup_4_stream,CPU_Utilization_4_insen,Frequency_4_insen,IPC_4_insen,Misses_4_insen,LLC_4_insen,MBL_4_insen,Memory_Footprint_4_insen,Virt_Memory_4_insen,Res_Memory_4_insen,Weighted_Speedup_4_insen,Weighted_Speedup_5,Weighted_Speedup_6,Weighted_Speedup_7,Weighted_Speedup_8,Weighted_Speedup_9,Weighted_Speedup_10,Weighted_Speedup_11,Weighted_Speedup_12,Weighted_Speedup_13,Weighted_Speedup_14,Weighted_Speedup_15,Weighted_Speedup_16,Weighted_Speedup_17
200.0,2907.3315,1.11,158.5,18792.0,49.6,0.2,213352.0,192528.0,2.062921931798511,100.0,2907.2945,0.52,9971.5,3672.0,1417.5,0.1,291612.0,98532.0,0.9497422680412372,200.0,2907.315,1.86,4909.0,1944.0,857.1,0.0,51468.0,45236.0,1.7771913508486399,200.0,2803.9385,1.115,172.5,19152.0,45.8,0.2,213352.0,192416.0,2.0720962437251167,100.0,2803.8475,0.645,9931.0,4248.0,1382.8,0.1,291552.0,98556.0,1.0799506013745706,200.0,2907.8680000000004,1.885,4019.5,3528.0,666.3,0.0,51468.0,43448.0,1.8066031155545224,200.0,2898.850000000001,1.115,198.0,17496.0,64.8,0.2,213492.0,190868.0,2.0720962437251167,100.0,2117.257,0.6599999999999999,8263.5,6120.0,1046.4,0.1,291664.0,98176.0,1.1108784364261168,200.0,2828.9945,1.895,4278.5,5616.0,885.8000000000002,0.0,51468.0,45104.0,1.8145082538944437,200.0,2962.7545,1.115,269.0,15768.0,130.3,0.2,213360.0,192272.0,2.0720962437251167,100.0,2052.7365,0.425,6983.0,8424.0,1040.3,0.1,291560.0,98368.0,0.8762886597938144,200.0,2885.134,1.885,4257.5,4896.0,970.9,0.0,51468.0,43644.0,1.8066031155545224,5.0691745035252165,5.033221526662588,4.84661071622287,5.955403971667341,5.052220425702993,5.084390615494599,4.921110863971513,5.067753171283497,5.018183271643434,5.134231745230638,4.833346974497345,4.816805414545604,4.4058801053991
200.0,2869.324,1.04,4753.5,30240.0,615.1,0.2,214668.0,193400.0,1.9675781597933548,200.0,2796.802,1.115,7264.0,4536.0,1017.4,0.1,236116.0,204680.0,1.66140350877193,200.0,2941.8590000000004,2.075,1221.5,1944.0,217.4,0.0,51468.0,45236.0,1.9682853378505556,193.8,2942.04,1.035,5350.5,30312.0,806.6,0.2,214668.0,193288.0,1.958938273804222,200.0,2797.0825000000004,1.235,12341.0,5904.0,2503.3,0.1,239824.0,208660.0,1.7847953216374268,200.0,2797.0840000000003,2.11,775.5,4536.0,65.4,0.0,51468.0,43448.0,2.0079521927348014,200.0,2943.5885,1.02,6054.5,31248.0,1416.0,0.2,214664.0,191840.0,1.9308809120869328,200.0,2799.132,1.78,6672.0,3312.0,848.1,0.1,236116.0,204684.0,2.4102339181286547,200.0,2799.1325,2.105,838.5,4176.0,157.5,0.0,51468.0,45104.0,2.0019998117824205,200.0,2941.3805,1.01,6786.5,26136.0,1234.8,0.2,214668.0,193140.0,1.9125322882337223,193.8,2807.8414999999995,1.805,5749.5,6696.0,842.7,0.1,236116.0,204796.0,2.442982456140351,200.0,2798.292,2.095,791.5,4536.0,226.1,0.0,51468.0,43644.0,1.9900950498776584,5.8599893493268835,5.815611776955589,5.679477265176603,5.791523195670424,5.809753763256516,5.410336569921348,5.78284007639395,5.705111853190534,5.67831926417963,5.637865659561513,5.553383688742482,5.504302005436208,5.487518001387856
200.0,2897.491,0.99,5864.0,33552.0,879.9000000000002,0.2,215144.0,193792.0,1.8237043330501272,200.0,2805.561,1.22,13941.5,4536.0,2564.9,0.2,335240.0,303856.0,2.0294832826747724,200.0,2804.3465,2.07,1269.5,2304.0,252.9,0.0,51468.0,45236.0,1.83235485975212,200.0,2893.885,0.98,6583.0,33624.0,1093.7,0.2,215144.0,193672.0,1.8050127442650807,200.0,2798.841000000001,1.25,13907.5,6912.0,2564.1,0.2,377576.0,334532.0,2.0758358662613983,200.0,2798.8955,2.11,813.0,4248.0,63.7,0.0,51468.0,43448.0,1.8774461839530328,200.0,2888.3485,0.975,7023.5,30600.0,1643.9,0.2,215140.0,192224.0,1.7956669498725573,200.0,2888.3555,1.245,12046.5,6336.0,2246.7,0.2,335240.0,303900.0,2.0756838905775075,200.0,2983.427,2.105,842.0,3744.0,166.0,0.0,51468.0,45104.0,1.8714938030006525,193.8,2816.6055,0.96,7667.5,27576.0,1148.1,0.2,215136.0,193524.0,1.7678844519966015,200.0,2805.128,1.275,10780.5,8928.0,1886.5,0.2,335240.0,303924.0,2.125531914893617,200.0,2816.4715,2.095,795.0,4680.0,227.4,0.0,51468.0,43644.0,1.857061317677756,5.6797620559929305,5.7065894871949885,5.638508813974129,5.70733290265803,5.658982318728802,5.594652082382833,5.607345774983068,5.577825366712832,5.508274285724663,5.464003136313328,5.477958088299273,5.391077490341349,4.95471218541364
193.8,2896.8445,0.985,5938.5,31608.0,809.2,0.2,218524.0,194160.0,1.6986260454002389,200.0,2799.2995,1.225,13761.5,2304.0,2649.2,0.3,505964.0,473096.0,1.7635327635327631,200.0,2805.3685,1.745,3835.5,2160.0,671.3,0.1,109920.0,103672.0,1.761752136752137,200.0,2891.677,0.98,6656.0,30312.0,1065.9,0.2,215484.0,194048.0,1.6893667861409796,200.0,2891.8279999999995,1.245,12802.0,4680.0,2438.2,0.3,505964.0,474820.0,1.7903947903947903,200.0,2891.828,1.84,2738.0,4896.0,469.5,0.1,111080.0,103204.0,1.8563797313797317,193.3,2807.825,0.96,7469.5,30600.0,1665.7,0.2,215480.0,192600.0,1.6535244922341696,200.0,2801.9375,1.26,12246.5,5760.0,2390.3,0.3,505964.0,474684.0,1.8176638176638176,200.0,2807.836500000001,1.83,2723.5,2952.0,697.3,0.1,110516.0,104068.0,1.8478327228327232,200.0,2894.776,0.945,7920.0,25200.0,1167.9,0.2,215468.0,193872.0,1.6281362007168458,200.0,2801.2430000000004,1.275,10594.5,5328.0,1889.8,0.3,505964.0,474736.0,1.8335368335368332,200.0,2894.7605,1.805,3006.5,3888.0,914.4,0.1,111700.0,103928.0,1.8231074481074483,5.293657358173487,5.309758491210103,5.260485183872281,5.266055181377762,5.1930987172922665,5.15944240944241,5.146925505796474,4.793009111557499,4.768559546785354,4.7143480772513024,4.611779051295182,4.572296729554794,5.0752707506604775
200.0,2907.041,0.995,5934.5,30240.0,824.6999999999998,0.2,215780.0,194212.0,1.8982850920969057,193.3,2808.8590000000004,1.42,9460.0,3960.0,1347.8,0.4,560656.0,529420.0,2.3597521200260925,200.0,2820.8595,2.075,1196.0,2664.0,247.6,0.0,51468.0,45236.0,2.21264367816092,200.0,2801.4970000000003,0.97,7292.0,30168.0,1168.5,0.2,215780.0,194100.0,1.8515561201342887,200.0,2801.4185,1.395,9642.5,2880.0,1376.1,0.4,560656.0,529632.0,2.315394651011089,193.8,2992.664,2.105,839.5,3888.0,65.0,0.0,51468.0,43448.0,2.2473316912972088,193.8,2897.623,0.96,8359.0,32616.0,1726.9,0.2,215752.0,192652.0,1.8332274748207968,200.0,2808.3405,1.4249999999999998,8013.5,5976.0,1063.5,0.4,560656.0,529496.0,2.3767123287671232,200.0,2808.4225,2.115,838.0,4104.0,176.0,0.0,51468.0,45104.0,2.25923645320197,200.0,2896.937,0.95,9247.0,27720.0,1353.9,0.2,215732.0,193948.0,1.8148988295073039,200.0,2807.0465,1.425,7105.0,9360.0,986.9,0.4,560656.0,529548.0,2.386823222439661,187.6,2807.116,2.105,802.5,4680.0,231.4,0.0,51468.0,43644.0,2.2473316912972088,6.2306015479955015,6.252811526597108,6.224408773222227,6.279994095627245,6.1527790203096675,5.983400495009603,6.035268672839829,5.9670739724300725,5.915499813141097,5.794794806989348,5.629704554588907,5.566158713473035,4.872050095489376
200.0,2891.6040000000007,1.005,5299.0,33048.0,724.5,0.2,216180.0,194260.0,1.7426891769671389,200.0,2793.301,1.005,12717.0,4320.0,1670.0,0.4,560656.0,529420.0,1.811734693877551,200.0,2989.917000000001,2.075,1258.0,2664.0,246.1,0.0,51468.0,45236.0,1.9566592261904758,193.3,2898.1435,1.005,5620.0,32400.0,888.2,0.2,216176.0,194216.0,1.7414078987036476,200.0,2807.1685,0.995,12950.5,4464.0,2211.4,0.4,560656.0,529632.0,1.8038265306122452,200.0,2807.172,2.1,832.0,4248.0,62.7,0.0,51468.0,43448.0,1.986421130952381,200.0,2802.1815,0.99,6205.0,29520.0,1461.1,0.2,216152.0,192700.0,1.7133705155260777,193.8,2802.8115,1.05,10587.5,6120.0,1505.6,0.4,560656.0,529496.0,1.8900510204081635,200.0,2893.802,2.095,835.5,4032.0,179.0,0.0,51468.0,45104.0,1.98046875,200.0,2895.0305,0.975,7323.0,26496.0,1108.7,0.2,216132.0,193988.0,1.686614410611999,193.8,2803.4925000000007,1.075,9354.5,9072.0,1238.5,0.4,560656.0,529548.0,1.9354591836734691,200.0,2895.0295,2.115,842.0,4464.0,236.2,0.0,51468.0,43644.0,2.002232142857143,5.562098395659138,5.63456109041446,5.537450272918935,5.537410742485116,5.526152490314788,5.485077865277102,5.4405194781598185,5.4229993357759145,5.442616488202908,5.415045420583818,5.331129546897143,5.240134530692742,4.992362937117472
200.0,2901.6525,1.04,8165.0,34632.0,1010.7,0.2,216948.0,194804.0,1.8098401174017145,200.0,2817.6565,0.965,14724.0,4968.0,2053.3,0.4,561320.0,530080.0,1.8028130170987315,200.0,2903.4179999999997,2.1950000000000003,6221.0,2736.0,829.4,0.1,139044.0,132712.0,2.0362241339223437,200.0,2889.4975,1.03,9006.0,32400.0,1785.4,0.2,216948.0,194692.0,1.7911485286166675,200.0,2889.5059999999994,0.945,14772.5,4104.0,2220.1,0.4,561320.0,530292.0,1.7756021327449898,200.0,2889.5035,2.265,4857.5,6480.0,552.3,0.1,140768.0,132772.0,2.1127877237851664,200.0,2891.1405,1.025,9508.0,33912.0,1861.5,0.2,216928.0,192984.0,1.7828840658067504,200.0,2793.303,0.98,12487.5,6192.0,1629.8,0.4,562856.0,531464.0,1.843353557639272,200.0,2891.1425,2.26,4666.5,3096.0,758.4,0.1,140320.0,133900.0,2.10690537084399,200.0,2812.035,1.005,10726.5,26928.0,1427.3,0.2,216668.0,194284.0,1.7465822198192633,193.8,2811.8345,1.01,11076.5,8784.0,1411.4,0.4,564048.0,532508.0,1.8908806765949624,200.0,2899.632,2.265,4593.0,4752.0,1189.7,0.1,140320.0,132440.0,2.1108579400139504,5.715430186036426,5.7374218967450465,5.748773959337622,5.720643231930856,5.724409384360109,5.642900274359224,5.62136034187819,5.638106702657501,5.563187175338075,5.461333501680191,5.369472334567171,5.2503831724113645,5.075689106284202
200.0,2893.4015,1.025,7885.5,34488.0,1014.4,0.2,217124.0,194856.0,1.7861280605545686,200.0,2893.4105,0.895,16828.5,5472.0,2393.8,0.4,566960.0,534840.0,1.5952141900937082,200.0,2893.4055,2.07,1332.5,2304.0,274.1,0.0,51468.0,45236.0,2.7759934909215485,200.0,2894.9455000000007,1.01,8945.5,31176.0,1482.4,0.2,217124.0,194744.0,1.7570093457943925,200.0,2894.887,0.8999999999999999,17427.0,4752.0,2685.1,0.4,566960.0,535044.0,1.5919511378848727,200.0,2807.295,2.105,812.5,3816.0,67.0,0.0,51468.0,43448.0,2.817660157588215,200.0,2812.664,1.0,9868.5,32904.0,1800.8000000000004,0.2,217112.0,193296.0,1.7404804201745576,200.0,2812.6645,0.96,15425.0,6480.0,1983.7,0.4,569144.0,536668.0,1.6905957161981258,200.0,2812.6679999999997,2.115,853.5,4392.0,182.1,0.0,51468.0,45104.0,2.8308067831449124,200.0,2805.7425000000007,0.995,10575.0,29520.0,1425.3000000000004,0.2,217100.0,194592.0,1.7322159573646403,193.8,2813.4159999999997,0.985,13727.5,8280.0,1861.5,0.4,569144.0,536728.0,1.725317938420348,200.0,2899.552,2.115,855.0,4608.0,244.0,0.0,51468.0,43644.0,2.8308067831449124,6.273536274894401,6.320628656935114,6.298763633921701,6.269221708371571,6.215720840319593,6.188666618302914,6.164177192808816,6.217900251118401,6.134172080390787,6.059941333793856,5.929015919318477,5.885691474173006,4.533455678600443
200.0,2895.9435000000008,1.055,7070.5,35208.0,887.9,0.2,217172.0,194872.0,1.8579282180161785,193.8,2801.0635,0.905,20773.5,4608.0,3017.5,0.4,569952.0,537532.0,1.7543522267206475,200.0,2801.062,2.07,1398.5,2232.0,278.1,0.0,51468.0,45236.0,1.9565919030801973,200.0,2802.3705,1.03,8499.0,31032.0,1417.0,0.2,217172.0,194760.0,1.8102568130055758,200.0,2802.3370000000004,0.8999999999999999,20246.0,4464.0,3107.4,0.4,569952.0,537744.0,1.7477732793522267,200.0,2892.2265,2.105,790.0,4032.0,66.3,0.0,74464.0,66340.0,1.9960474308300395,200.0,2817.9309999999996,1.0,9594.0,26712.0,1684.3000000000004,0.2,217216.0,193308.0,1.7570093457943925,200.0,2817.9484999999995,0.96,17991.0,6840.0,2460.9,0.4,570412.0,538068.0,1.8531376518218623,193.8,2817.93,2.11,842.5,4320.0,182.3,0.0,51468.0,45104.0,2.0019645905933534,200.0,2821.8979999999997,0.97,11194.0,29808.0,1537.5,0.2,217212.0,194608.0,1.7028194455352232,200.0,2807.4215,0.945,17032.5,9720.0,2454.8,0.4,571776.0,539032.0,1.8334008097165992,200.0,2821.7565,2.115,849.5,4896.0,241.8,0.0,51468.0,43644.0,2.007881750356667,5.528099178407179,5.623877116507387,5.611284800834288,5.6416771776192745,5.5463686100414415,5.5671557115004555,5.367983453978301,5.224515589705193,5.203999586944031,5.171773249437897,5.118144347856079,4.966766796171696,5.4025537610871055
200.0,2895.781,1.03,7970.5,35208.0,991.5,0.2,217268.0,194896.0,1.8027258566978197,200.0,2802.358,0.81,26531.0,4104.0,4002.8,0.4,571776.0,539156.0,1.5136986301369864,193.3,2895.7855,2.015,6125.0,2880.0,1079.3,0.1,125544.0,119248.0,1.8920018600325508,200.0,2897.407,1.015,8954.5,33192.0,1500.8,0.2,217268.0,194800.0,1.774688473520249,200.0,2810.6075,0.845,26503.5,4680.0,4128.1,0.4,571776.0,539108.0,1.5616438356164384,193.8,2810.6035,2.245,3820.0,4392.0,614.9,0.1,134888.0,126964.0,2.0931178795628917,200.0,2793.3025,1.015,8954.0,30960.0,1565.4,0.2,217248.0,193336.0,1.7767133956386294,193.3,2890.35,0.885,31757.5,7200.0,5287.4,0.5,871000.0,711088.0,1.602739726027397,200.0,2987.4135,2.225,3973.5,4320.0,876.1,0.1,131840.0,125452.0,2.0792373866542664,200.0,2889.066,0.995,10446.0,29160.0,1459.8,0.2,217252.0,194700.0,1.7403426791277257,200.0,2889.0570000000002,0.96,34482.5,9360.0,6854.200000000002,0.6000000000000001,871132.0,798516.0,1.7808219178082192,200.0,2889.0705000000007,2.21,4279.0,5400.0,1141.5,0.1,132912.0,125048.0,2.067379679144385,5.385362732293596,5.420866700911728,5.3565560749796814,5.2827564832771845,5.30553739649796,5.301054732586933,5.275923053208547,5.36326619916015,5.2971185923947885,5.260808808609085,5.136147345963525,5.090882877769526,4.486223771813369
