CPU_Utilization,Frequency,IPC,Misses,LLC,MBL,Memory_Footprint,Virt_Memory,Res_Memory,Allocated_Cache,protected
100.0,2799.9990000000003,3.41,1783.0,2808.0,206.9,0.3,814764.0,801708.0,2.25,0
100.0,2800.0959999999995,2.97,19928.0,4536.0,1806.7,0.3,855696.0,842148.0,2.25,0
100.0,2800.06,2.72,35867.0,6480.0,2498.6,0.3,814764.0,801708.0,2.25,0
100.0,2800.116,3.43,1671.0,11592.0,186.5,0.3,814764.0,801708.0,2.25,0
100.0,2800.0,3.42,1717.0,14472.0,194.1,0.3,814764.0,801708.0,2.25,0
100.0,2800.0409999999997,2.52,43634.0,3168.0,3378.3,0.3,814764.0,801708.0,2.25,0
93.8,2799.9990000000003,3.14,12210.0,7848.0,926.0,0.3,814764.0,801708.0,2.25,0
100.0,2799.9990000000003,3.36,2449.0,12312.0,275.4,0.3,814764.0,801708.0,2.25,0
100.0,2800.1659999999997,3.26,9544.0,7992.0,879.7,0.3,855696.0,842008.0,2.25,0
100.0,2800.06,2.14,61006.0,4752.0,4379.5,0.3,814764.0,801708.0,2.25,0
100.0,2799.9990000000003,3.44,1492.0,9432.0,165.2,0.3,814764.0,801708.0,2.25,0
100.0,2799.9990000000003,3.44,1157.0,12528.0,134.7,0.3,814764.0,801708.0,2.25,0
100.0,2800.112,3.43,1546.0,15408.0,174.9,0.3,814764.0,801708.0,2.25,0
100.0,2800.0,1.98,69073.0,3960.0,5097.4,0.3,814764.0,801708.0,2.25,0
100.0,2799.9990000000003,3.46,867.0,8424.0,95.7,0.3,814764.0,801708.0,2.25,0
100.0,2800.0,3.46,1180.0,12312.0,128.8,0.3,814764.0,801708.0,2.25,0
100.0,2800.0,3.46,793.0,15480.0,90.1,0.3,814764.0,801708.0,2.25,0
100.0,2799.9990000000003,3.45,1219.0,17568.0,135.9,0.3,814764.0,801708.0,2.25,0
100.0,2800.1090000000004,3.46,882.0,18504.0,95.8,0.3,814764.0,801708.0,2.25,0
93.8,2800.0559999999996,1.73,83667.0,5400.0,6042.9,0.3,814764.0,801708.0,2.25,0
93.8,2800.0,3.47,774.0,8568.0,85.4,0.3,814764.0,801708.0,2.25,0
100.0,2799.9990000000003,3.45,1010.0,11736.0,108.4,0.3,814764.0,801708.0,2.25,0
100.0,2800.0,3.46,765.0,15120.0,86.8,0.3,814764.0,801708.0,2.25,0
100.0,2799.9990000000003,3.45,1024.0,17352.0,114.0,0.3,814764.0,801708.0,2.25,0
100.0,2800.0,3.46,793.0,17784.0,87.1,0.3,814764.0,801708.0,2.25,0
100.0,2800.1059999999998,3.16,13833.0,3744.0,1284.6,0.3,855696.0,842020.0,2.25,0
100.0,2800.0570000000002,2.03,70511.0,4824.0,4861.3,0.3,814764.0,801708.0,2.25,0
100.0,2799.9990000000003,3.47,594.0,8424.0,65.6,0.3,814764.0,801708.0,2.25,0
100.0,2799.9990000000003,3.48,582.0,12888.0,63.8,0.3,814764.0,801708.0,2.25,0
100.0,2799.9990000000003,3.48,754.0,16344.0,76.8,0.3,814764.0,801708.0,2.25,0
100.0,2800.0,3.47,545.0,17712.0,63.9,0.3,814764.0,801708.0,2.25,0
100.0,2800.0,3.43,1799.0,3240.0,206.9,0.3,814764.0,801500.0,4.5,0
100.0,2800.092,2.86,25936.0,5256.0,2227.0,0.3,855696.0,841928.0,4.5,0
100.0,2800.053,2.86,29339.0,9576.0,2024.2,0.3,814764.0,801500.0,4.5,0
100.0,2800.0,3.44,1671.0,8424.0,192.6,0.3,814764.0,801500.0,4.5,0
